date,month,year,day
01-01-2024,January,2024,Monday
02-01-2024,January,2024,Tuesday
03-01-2024,January,2024,Wednesday
04-01-2024,January,2024,Thursday
05-01-2024,January,2024,Friday
06-01-2024,January,2024,Saturday
07-01-2024,January,2024,Sunday
08-01-2024,January,2024,Monday
09-01-2024,January,2024,Tuesday
10-01-2024,January,2024,Wednesday
11-01-2024,January,2024,Thursday
12-01-2024,January,2024,Friday
13-01-2024,January,2024,Saturday
14-01-2024,January,2024,Sunday
15-01-2024,January,2024,Monday
16-01-2024,January,2024,Tuesday
17-01-2024,January,2024,Wednesday
18-01-2024,January,2024,Thursday
19-01-2024,January,2024,Friday
20-01-2024,January,2024,Saturday
21-01-2024,January,2024,Sunday
22-01-2024,January,2024,Monday
23-01-2024,January,2024,Tuesday
24-01-2024,January,2024,Wednesday
25-01-2024,January,2024,Thursday
26-01-2024,January,2024,Friday
27-01-2024,January,2024,Saturday
28-01-2024,January,2024,Sunday
29-01-2024,January,2024,Monday
30-01-2024,January,2024,Tuesday
31-01-2024,January,2024,Wednesday
01-02-2024,February,2024,Thursday
02-02-2024,February,2024,Friday
03-02-2024,February,2024,Saturday
04-02-2024,February,2024,Sunday
05-02-2024,February,2024,Monday
06-02-2024,February,2024,Tuesday
07-02-2024,February,2024,Wednesday
08-02-2024,February,2024,Thursday
09-02-2024,February,2024,Friday
10-02-2024,February,2024,Saturday
11-02-2024,February,2024,Sunday
12-02-2024,February,2024,Monday
13-02-2024,February,2024,Tuesday
14-02-2024,February,2024,Wednesday
15-02-2024,February,2024,Thursday
16-02-2024,February,2024,Friday
17-02-2024,February,2024,Saturday
18-02-2024,February,2024,Sunday
19-02-2024,February,2024,Monday
20-02-2024,February,2024,Tuesday
21-02-2024,February,2024,Wednesday
22-02-2024,February,2024,Thursday
23-02-2024,February,2024,Friday
24-02-2024,February,2024,Saturday
25-02-2024,February,2024,Sunday
26-02-2024,February,2024,Monday
27-02-2024,February,2024,Tuesday
