order_id,product_id,order_date,quantity,revenue
O_2563,SRTEH2FF9KEDEFGF,07-01-2024,8,7824
O_5279,SBEEH3QGU7MFYJFY,10-09-2024,43,6686
O_5636,SHOEH4GRSUBJGZXE,08-03-2024,48,4099
O_9880,SRTEH2F6HUZMQ6SJ,03-04-2025,4,5176
O_5960,PSOEH3ZYDMSYARJ5,22-08-2024,49,3097
O_8727,PWTEB7H2E4KCYUE3,10-06-2025,32,9720
O_3320,SRTEH2FVVKRBAXHB,22-01-2025,38,3384
O_4909,SBEEH3QGYGHFUEXN,23-07-2024,43,932
O_6110,SHOEH3DZBFR88SCK,08-10-2025,15,1825
O_837,SRTEH2FVUHAAVH9X,08-12-2024,14,5556
O_8120,SHOEH4KM2W3Z6EH5,25-03-2025,3,3323
O_682,SWIEHF3EF5PZAZUY,16-12-2024,9,6125
O_4743,PSOEH3ZYYFETGCCD,04-02-2025,18,1985
O_6546,SRTEH2FGBDJGX8FW,25-11-2024,24,4524
O_8775,BOTEGYTZ2T6WUJMM,23-10-2024,2,1476
O_428,SRTEH2FECMGNZJXJ,21-01-2025,13,6492
O_26,SBEEH3QGAYAEPRCG,12-04-2025,34,1811
O_4936,SHOEH4FSHEDEMVTM,29-04-2025,28,1334
O_2128,SWIEHF3H7WG6VGMR,08-06-2024,27,5370
O_1020,SBEEH3QGWRGG3J6Q,01-04-2024,8,463
O_4301,PSOEH3ZXRTZJUVXM,21-02-2024,7,4818
O_1966,SRTEH2FD3ANFFMHP,20-07-2024,34,9856
O_9559,TSHEHBHSKBJWHFNF,04-08-2025,36,8220
O_4698,SNDEH75ZFZ5REGFH,26-03-2024,41,545
O_4606,PTYEA6SFGD4X8NAR,19-11-2025,49,2466
O_1538,LINE92U9KGZG25AY,04-06-2024,37,4734
O_6621,SKTEC88WSNYJKWY7,19-11-2025,26,8632
O_1230,VANDZY4YZFPEG85T,02-07-2025,42,331
O_6188,LJGEB2KMCMMHHFC7,05-07-2025,39,4000
O_301,CRGE6A53UX7CJMXX,14-01-2024,2,1893
O_2258,ARPEGDHSXZJSHGSN,14-05-2024,40,7688
O_4307,FABEJX2NHNKCYHKA,08-11-2025,48,5706
O_7959,DIAEJ6Z8BEDTGGYY,18-10-2025,47,8887
O_2183,DIAEJ6Z8KQFWDEGH,12-06-2024,7,4952
O_9744,DIAEJ8FGHZ3K86JU,19-02-2025,12,8315
O_4600,WSCEG2FYDYFDSVZ6,13-03-2025,33,2462
O_7831,PKBEGBTRKKHU26YQ,24-01-2024,41,1606
O_847,WSCEFUV4TVWT73ZB,16-12-2024,41,3015
O_5161,PPSEGFYAGD8FYUXV,16-01-2025,45,319
O_9586,DRPEF2XSFBAP4SUZ,27-02-2024,5,7547
O_7867,SHOEGVQCT2ZSGUHY,10-11-2025,9,4912
O_6521,SHIEHS7XJ954NRYY,26-02-2025,25,1114
O_6366,SUDEJFBRVYEUZUDH,15-11-2024,49,8038
O_3167,WJCEHF8GZSQWZY7Z,03-08-2024,17,8465
O_244,KTAEHE9HAED4VUQB,18-09-2025,36,976
O_5494,KTAEHE9KFCMVVSBN,02-12-2025,45,4108
O_3582,KTAEHE9KEZBBQHYA,26-07-2025,25,9096
O_8807,SSSEHDP9RFW7ZGNG,15-03-2024,32,4798
O_6426,SSSEHFZ2TRZBAPF9,23-12-2024,4,2507
O_8323,KTAEHETWXZYYG35G,19-04-2024,9,8482
O_7895,KTAEHE9KPZU5JK2P,09-10-2024,18,939
O_8838,WJCEHF8JMMZWPYYG,24-08-2024,4,9539
O_9624,SSSEHFZ34KRWYGSH,03-07-2025,32,1293
O_8180,KTAEHE9K8CQJMQCV,11-12-2024,22,9893
O_1228,SNMEHEYXQCEW3JCQ,11-10-2025,34,1867
O_6261,KTAEHE9K92ADDUNC,20-03-2025,3,586
O_1555,KTAEHE9KNNU7RP4Z,24-08-2024,48,4698
O_2400,KTAEHETWZZ5KEAT9,12-05-2024,34,1922
O_1949,KTAEHETVCXXZRXGK,07-08-2024,20,9335
O_9537,CGNEDFY77SGZTEQ2,08-04-2025,13,2647
O_5640,KTAEHE9H9MVK42JA,19-01-2025,31,658
O_9857,KTAEHFQGFGMGGMUZ,07-08-2024,28,2369
O_7771,KTAEHETW3ZCMFMJR,17-07-2025,15,1027
O_6522,KTAEHE9KFWXNYHFD,19-06-2024,45,9988
O_6903,KTAEGFPRCCS46ZMA,02-06-2024,6,7898
O_9512,KTAEG2EQ6GSJE8AG,30-03-2024,32,8973
O_2591,KTAEHETWRNSWM4EF,10-12-2025,2,1181
O_2366,PADEHZFHMTEUP8YG,28-11-2025,50,8015
O_4970,BELEG6KUK6ZBFTZJ,11-03-2025,25,2505
O_8238,PADEHZFJGQNSEVKC,22-04-2025,24,9180
O_7969,BELEG68SBMZFFN5Z,25-02-2025,7,2564
O_2010,CRNEG7BKMFFYHQ8Z,26-08-2025,31,6282
O_1964,SNDEG6EFWGBCURUT,06-08-2024,17,6809
O_920,PADEHZFHGHFQJAXV,18-03-2024,28,3551
O_1522,BTWEGFZHGBXPHZUH,22-11-2024,14,6715
O_288,PADEHZFHCNQGWNNS,28-05-2025,16,6860
O_7545,BTWEG6SHXTDB2A2Y,30-09-2024,44,8525
O_9466,BDSEJT9UQWHDUBH4,01-06-2024,7,2901
O_4852,MBPEJMV5GAY9SZX5,10-07-2024,39,8671
O_6111,SHTEJRCHC5KESPYX,14-11-2025,20,9573
O_2970,BDSEJTHNGWVGWWQU,29-12-2024,19,5066
O_8263,CNBEJ9EDXWN8HQUU,19-09-2024,47,7478
O_6704,BDSEJTHGGZH3HSJF,09-11-2025,2,9895
O_2165,ACBEGNTVH7QYGJZU,01-02-2024,49,8447
O_7464,SHIEJYHMR7DUKT8W,22-07-2025,3,7424
O_3332,PSLEAVTQRYZP3YVG,26-11-2025,7,4045
O_7121,SHTEBY72FGKPYBRU,08-03-2025,9,8726
O_4778,SHTEB5MNYHJJQGBJ,02-09-2024,25,9278
O_6281,WATE3FAXGFHMASYX,06-02-2025,4,5921
O_5551,SHOECK2FYYWUT4KM,17-09-2025,10,1829
O_1788,WATECJ25SP6A7VD5,22-02-2024,35,7561
O_6699,SHOE7ZJ3GQN3ZHNS,31-08-2024,26,7002
O_3410,WATEAYAHJ8CUCAYM,30-12-2025,27,4293
O_5076,WATECV664H5MMGSQ,21-04-2024,33,429
O_5493,WATE6Y6D2MZHWGBZ,19-12-2024,13,3372
O_4341,JEAECN2PWUKFA9GJ,12-08-2024,40,6210
O_5340,SHOE4FZGGTE7HJXN,22-11-2025,11,4320
O_8429,WATE2RX9HHGBUQGA,29-12-2025,45,6638
O_6896,SHOE2FQCE3QFC8ZM,26-08-2025,15,2658
